,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
6142,1994,Argentina,male,55-74 years,509,2192500,257440000000.0,23.22,-38.416097,-63.616671999999994
6143,1994,Argentina,male,75+ years,192,423100,257440000000.0,45.38,-38.416097,-63.616671999999994
6159,1994,Australia,female,05-14 years,1,1243200,322201314424.0,0.08,-25.274398,133.775136
6156,1994,Australia,female,15-24 years,55,1336300,322201314424.0,4.12,-25.274398,133.775136
6157,1994,Australia,female,25-34 years,88,1411500,322201314424.0,6.23,-25.274398,133.775136
6158,1994,Australia,female,35-54 years,162,2400300,322201314424.0,6.75,-25.274398,133.775136
6160,1994,Australia,female,55-74 years,79,1411700,322201314424.0,5.6,-25.274398,133.775136
6161,1994,Australia,female,75+ years,33,522900,322201314424.0,6.31,-25.274398,133.775136
6165,1994,Australia,male,05-14 years,3,1310100,322201314424.0,0.23,-25.274398,133.775136
6162,1994,Australia,male,15-24 years,377,1396400,322201314424.0,27.0,-25.274398,133.775136
6163,1994,Australia,male,25-34 years,426,1414900,322201314424.0,30.11,-25.274398,133.775136
6164,1994,Australia,male,35-54 years,648,2441200,322201314424.0,26.54,-25.274398,133.775136
6166,1994,Australia,male,55-74 years,311,1345000,322201314424.0,23.12,-25.274398,133.775136
6167,1994,Australia,male,75+ years,100,315900,322201314424.0,31.66,-25.274398,133.775136
6171,1994,Austria,female,05-14 years,6,458807,203535242742.0,1.31,47.516231,14.550072
6168,1994,Austria,female,15-24 years,34,510791,203535242742.0,6.66,47.516231,14.550072
6169,1994,Austria,female,25-34 years,58,679708,203535242742.0,8.53,47.516231,14.550072
6170,1994,Austria,female,35-54 years,151,1064408,203535242742.0,14.19,47.516231,14.550072
6172,1994,Austria,female,55-74 years,149,830130,203535242742.0,17.95,47.516231,14.550072
6173,1994,Austria,female,75+ years,93,335528,203535242742.0,27.72,47.516231,14.550072
6177,1994,Austria,male,05-14 years,5,482580,203535242742.0,1.04,47.516231,14.550072
6174,1994,Austria,male,15-24 years,136,525346,203535242742.0,25.89,47.516231,14.550072
6175,1994,Austria,male,25-34 years,207,711945,203535242742.0,29.08,47.516231,14.550072
6176,1994,Austria,male,35-54 years,432,1071436,203535242742.0,40.32,47.516231,14.550072
6178,1994,Austria,male,55-74 years,331,646545,203535242742.0,51.2,47.516231,14.550072
6179,1994,Austria,male,75+ years,174,145328,203535242742.0,119.73,47.516231,14.550072
6231,1994,Belgium,female,05-14 years,1,590400,246194938751.0,0.17,50.503887,4.469936
6228,1994,Belgium,female,15-24 years,24,641000,246194938751.0,3.74,50.503887,4.469936
6229,1994,Belgium,female,25-34 years,83,774100,246194938751.0,10.72,50.503887,4.469936
6230,1994,Belgium,female,35-54 years,213,1334900,246194938751.0,15.96,50.503887,4.469936
6232,1994,Belgium,female,55-74 years,185,1110600,246194938751.0,16.66,50.503887,4.469936
6233,1994,Belgium,female,75+ years,82,414900,246194938751.0,19.76,50.503887,4.469936
6237,1994,Belgium,male,05-14 years,10,620600,246194938751.0,1.61,50.503887,4.469936
6234,1994,Belgium,male,15-24 years,151,665700,246194938751.0,22.68,50.503887,4.469936
6235,1994,Belgium,male,25-34 years,266,804200,246194938751.0,33.08,50.503887,4.469936
6236,1994,Belgium,male,35-54 years,538,1367300,246194938751.0,39.35,50.503887,4.469936
6238,1994,Belgium,male,55-74 years,378,968900,246194938751.0,39.01,50.503887,4.469936
6239,1994,Belgium,male,75+ years,200,204800,246194938751.0,97.66,50.503887,4.469936
6243,1994,Belize,female,05-14 years,0,27520,580863700.0,0.0,17.189877,-88.49765
6240,1994,Belize,female,15-24 years,0,19476,580863700.0,0.0,17.189877,-88.49765
6241,1994,Belize,female,25-34 years,0,15024,580863700.0,0.0,17.189877,-88.49765
6242,1994,Belize,female,35-54 years,0,14336,580863700.0,0.0,17.189877,-88.49765
6244,1994,Belize,female,55-74 years,0,6622,580863700.0,0.0,17.189877,-88.49765
6245,1994,Belize,female,75+ years,1,1912,580863700.0,52.3,17.189877,-88.49765
6249,1994,Belize,male,05-14 years,0,28130,580863700.0,0.0,17.189877,-88.49765
6246,1994,Belize,male,15-24 years,0,19565,580863700.0,0.0,17.189877,-88.49765
6247,1994,Belize,male,25-34 years,2,15207,580863700.0,13.15,17.189877,-88.49765
6248,1994,Belize,male,35-54 years,3,14798,580863700.0,20.27,17.189877,-88.49765
6250,1994,Belize,male,55-74 years,1,6725,580863700.0,14.87,17.189877,-88.49765
6251,1994,Belize,male,75+ years,1,1559,580863700.0,64.14,17.189877,-88.49765
6255,1994,Brazil,female,05-14 years,46,17753766,558111997497.0,0.26,-14.235004,-51.92528
6252,1994,Brazil,female,15-24 years,372,15405279,558111997497.0,2.41,-14.235004,-51.92528
6253,1994,Brazil,female,25-34 years,291,13479427,558111997497.0,2.16,-14.235004,-51.92528
6254,1994,Brazil,female,35-54 years,369,16774482,558111997497.0,2.2,-14.235004,-51.92528
6256,1994,Brazil,female,55-74 years,174,7323575,558111997497.0,2.38,-14.235004,-51.92528
6257,1994,Brazil,female,75+ years,39,1307893,558111997497.0,2.98,-14.235004,-51.92528
6261,1994,Brazil,male,05-14 years,48,18311628,558111997497.0,0.26,-14.235004,-51.92528
6258,1994,Brazil,male,15-24 years,988,15533989,558111997497.0,6.36,-14.235004,-51.92528
6259,1994,Brazil,male,25-34 years,1228,13187454,558111997497.0,9.31,-14.235004,-51.92528
6260,1994,Brazil,male,35-54 years,1436,16047095,558111997497.0,8.95,-14.235004,-51.92528
6262,1994,Brazil,male,55-74 years,725,6270191,558111997497.0,11.56,-14.235004,-51.92528
6263,1994,Brazil,male,75+ years,180,793671,558111997497.0,22.68,-14.235004,-51.92528
6267,1994,Bulgaria,female,05-14 years,4,536800,9697416974.0,0.75,42.733883,25.48583
6264,1994,Bulgaria,female,15-24 years,30,602800,9697416974.0,4.98,42.733883,25.48583
6265,1994,Bulgaria,female,25-34 years,33,547900,9697416974.0,6.02,42.733883,25.48583
6266,1994,Bulgaria,female,35-54 years,103,1158400,9697416974.0,8.89,42.733883,25.48583
6268,1994,Bulgaria,female,55-74 years,160,1013800,9697416974.0,15.78,42.733883,25.48583
6269,1994,Bulgaria,female,75+ years,86,225000,9697416974.0,38.22,42.733883,25.48583
6273,1994,Bulgaria,male,05-14 years,9,566000,9697416974.0,1.59,42.733883,25.48583
6270,1994,Bulgaria,male,15-24 years,84,629400,9697416974.0,13.35,42.733883,25.48583
6271,1994,Bulgaria,male,25-34 years,87,558000,9697416974.0,15.59,42.733883,25.48583
6272,1994,Bulgaria,male,35-54 years,329,1125000,9697416974.0,29.24,42.733883,25.48583
6274,1994,Bulgaria,male,55-74 years,364,876800,9697416974.0,41.51,42.733883,25.48583
6275,1994,Bulgaria,male,75+ years,175,155600,9697416974.0,112.47,42.733883,25.48583
6279,1994,Canada,female,05-14 years,12,1936800,578139279438.0,0.62,56.130366,-106.34677099999999
6276,1994,Canada,female,15-24 years,105,1972200,578139279438.0,5.32,56.130366,-106.34677099999999
6277,1994,Canada,female,25-34 years,135,2460500,578139279438.0,5.49,56.130366,-106.34677099999999
6278,1994,Canada,female,35-54 years,339,4145800,578139279438.0,8.18,56.130366,-106.34677099999999
6280,1994,Canada,female,55-74 years,152,2380300,578139279438.0,6.39,56.130366,-106.34677099999999
6281,1994,Canada,female,75+ years,37,884500,578139279438.0,4.18,56.130366,-106.34677099999999
6285,1994,Canada,male,05-14 years,37,2024800,578139279438.0,1.83,56.130366,-106.34677099999999
6282,1994,Canada,male,15-24 years,506,2048800,578139279438.0,24.7,56.130366,-106.34677099999999
6283,1994,Canada,male,25-34 years,636,2523000,578139279438.0,25.21,56.130366,-106.34677099999999
6284,1994,Canada,male,35-54 years,1150,4177400,578139279438.0,27.53,56.130366,-106.34677099999999
6286,1994,Canada,male,55-74 years,479,2164400,578139279438.0,22.13,56.130366,-106.34677099999999
6287,1994,Canada,male,75+ years,160,527500,578139279438.0,30.33,56.130366,-106.34677099999999
6291,1994,Chile,female,05-14 years,4,1313500,57008425296.0,0.3,-35.675146999999996,-71.542969
6288,1994,Chile,female,15-24 years,18,1206800,57008425296.0,1.49,-35.675146999999996,-71.542969
6289,1994,Chile,female,25-34 years,26,1215800,57008425296.0,2.14,-35.675146999999996,-71.542969
6290,1994,Chile,female,35-54 years,30,1609700,57008425296.0,1.86,-35.675146999999996,-71.542969
6292,1994,Chile,female,55-74 years,16,799600,57008425296.0,2.0,-35.675146999999996,-71.542969
6293,1994,Chile,female,75+ years,3,207300,57008425296.0,1.45,-35.675146999999996,-71.542969
6297,1994,Chile,male,05-14 years,2,1359100,57008425296.0,0.15,-35.675146999999996,-71.542969
6294,1994,Chile,male,15-24 years,135,1235400,57008425296.0,10.93,-35.675146999999996,-71.542969
6295,1994,Chile,male,25-34 years,184,1224400,57008425296.0,15.03,-35.675146999999996,-71.542969
6296,1994,Chile,male,35-54 years,223,1564900,57008425296.0,14.25,-35.675146999999996,-71.542969
6298,1994,Chile,male,55-74 years,127,666400,57008425296.0,19.06,-35.675146999999996,-71.542969
6299,1994,Chile,male,75+ years,33,123700,57008425296.0,26.68,-35.675146999999996,-71.542969
6303,1994,Colombia,female,05-14 years,14,3874700,81703500846.0,0.36,4.570868,-74.297333
6300,1994,Colombia,female,15-24 years,130,3343400,81703500846.0,3.89,4.570868,-74.297333
6301,1994,Colombia,female,25-34 years,59,3164600,81703500846.0,1.86,4.570868,-74.297333
6302,1994,Colombia,female,35-54 years,44,3551000,81703500846.0,1.24,4.570868,-74.297333
6304,1994,Colombia,female,55-74 years,19,1382700,81703500846.0,1.37,4.570868,-74.297333
6305,1994,Colombia,female,75+ years,2,293900,81703500846.0,0.68,4.570868,-74.297333
6309,1994,Colombia,male,05-14 years,13,4013700,81703500846.0,0.32,4.570868,-74.297333
6306,1994,Colombia,male,15-24 years,313,3391100,81703500846.0,9.23,4.570868,-74.297333
6307,1994,Colombia,male,25-34 years,247,3094400,81703500846.0,7.98,4.570868,-74.297333
6308,1994,Colombia,male,35-54 years,216,3320000,81703500846.0,6.51,4.570868,-74.297333
6310,1994,Colombia,male,55-74 years,110,1214600,81703500846.0,9.06,4.570868,-74.297333
6311,1994,Colombia,male,75+ years,31,230500,81703500846.0,13.45,4.570868,-74.297333
6315,1994,Costa Rica,female,05-14 years,0,373400,10432619390.0,0.0,9.748917,-83.753428
6312,1994,Costa Rica,female,15-24 years,10,298600,10432619390.0,3.35,9.748917,-83.753428
6313,1994,Costa Rica,female,25-34 years,9,281600,10432619390.0,3.2,9.748917,-83.753428
6314,1994,Costa Rica,female,35-54 years,7,330200,10432619390.0,2.12,9.748917,-83.753428
6316,1994,Costa Rica,female,55-74 years,3,137000,10432619390.0,2.19,9.748917,-83.753428
6317,1994,Costa Rica,female,75+ years,0,29200,10432619390.0,0.0,9.748917,-83.753428
6321,1994,Costa Rica,male,05-14 years,3,390600,10432619390.0,0.77,9.748917,-83.753428
6318,1994,Costa Rica,male,15-24 years,30,311600,10432619390.0,9.63,9.748917,-83.753428
6319,1994,Costa Rica,male,25-34 years,36,290800,10432619390.0,12.38,9.748917,-83.753428
6320,1994,Costa Rica,male,35-54 years,44,333900,10432619390.0,13.18,9.748917,-83.753428
6322,1994,Costa Rica,male,55-74 years,15,129900,10432619390.0,11.55,9.748917,-83.753428
6323,1994,Costa Rica,male,75+ years,5,22300,10432619390.0,22.42,9.748917,-83.753428
6363,1994,Ecuador,female,05-14 years,12,1306032,22708673337.0,0.92,-1.8312389999999998,-78.183406
6360,1994,Ecuador,female,15-24 years,95,1108840,22708673337.0,8.57,-1.8312389999999998,-78.183406
6361,1994,Ecuador,female,25-34 years,39,873910,22708673337.0,4.46,-1.8312389999999998,-78.183406
6362,1994,Ecuador,female,35-54 years,21,1029098,22708673337.0,2.04,-1.8312389999999998,-78.183406
6364,1994,Ecuador,female,55-74 years,3,432045,22708673337.0,0.69,-1.8312389999999998,-78.183406
6365,1994,Ecuador,female,75+ years,1,102472,22708673337.0,0.98,-1.8312389999999998,-78.183406
6369,1994,Ecuador,male,05-14 years,12,1348611,22708673337.0,0.89,-1.8312389999999998,-78.183406
6366,1994,Ecuador,male,15-24 years,91,1134121,22708673337.0,8.02,-1.8312389999999998,-78.183406
6367,1994,Ecuador,male,25-34 years,96,881672,22708673337.0,10.89,-1.8312389999999998,-78.183406
6368,1994,Ecuador,male,35-54 years,96,1018423,22708673337.0,9.43,-1.8312389999999998,-78.183406
6370,1994,Ecuador,male,55-74 years,36,406131,22708673337.0,8.86,-1.8312389999999998,-78.183406
6371,1994,Ecuador,male,75+ years,10,83900,22708673337.0,11.92,-1.8312389999999998,-78.183406
6375,1994,Finland,female,05-14 years,1,314900,103321570859.0,0.32,61.92411,25.748151
6372,1994,Finland,female,15-24 years,24,308800,103321570859.0,7.77,61.92411,25.748151
6373,1994,Finland,female,25-34 years,39,364700,103321570859.0,10.69,61.92411,25.748151
6374,1994,Finland,female,35-54 years,156,745700,103321570859.0,20.92,61.92411,25.748151
6376,1994,Finland,female,55-74 years,68,513900,103321570859.0,13.23,61.92411,25.748151
6377,1994,Finland,female,75+ years,19,204200,103321570859.0,9.3,61.92411,25.748151
6381,1994,Finland,male,05-14 years,2,329500,103321570859.0,0.61,61.92411,25.748151
6378,1994,Finland,male,15-24 years,147,322800,103321570859.0,45.54,61.92411,25.748151
6379,1994,Finland,male,25-34 years,195,380600,103321570859.0,51.23,61.92411,25.748151
6380,1994,Finland,male,35-54 years,484,769800,103321570859.0,62.87,61.92411,25.748151
6382,1994,Finland,male,55-74 years,199,418700,103321570859.0,47.53,61.92411,25.748151
6383,1994,Finland,male,75+ years,53,88000,103321570859.0,60.23,61.92411,25.748151
6387,1994,France,female,05-14 years,6,3601900,1393982750473.0,0.17,46.227638,2.213749
6384,1994,France,female,15-24 years,171,3974200,1393982750473.0,4.3,46.227638,2.213749
6385,1994,France,female,25-34 years,390,4321000,1393982750473.0,9.03,46.227638,2.213749
6386,1994,France,female,35-54 years,1102,7721300,1393982750473.0,14.27,46.227638,2.213749
6388,1994,France,female,55-74 years,964,5881000,1393982750473.0,16.39,46.227638,2.213749
6389,1994,France,female,75+ years,536,2421100,1393982750473.0,22.14,46.227638,2.213749
6393,1994,France,male,05-14 years,15,3772200,1393982750473.0,0.4,46.227638,2.213749
6390,1994,France,male,15-24 years,663,4113400,1393982750473.0,16.12,46.227638,2.213749
6391,1994,France,male,25-34 years,1456,4334000,1393982750473.0,33.59,46.227638,2.213749
6392,1994,France,male,35-54 years,3310,7746900,1393982750473.0,42.73,46.227638,2.213749
6394,1994,France,male,55-74 years,2194,5097900,1393982750473.0,43.04,46.227638,2.213749
6395,1994,France,male,75+ years,1234,1262200,1393982750473.0,97.77,46.227638,2.213749
6423,1994,Greece,female,05-14 years,0,648169,116601802107.0,0.0,39.074208,21.824312
6420,1994,Greece,female,15-24 years,3,763995,116601802107.0,0.39,39.074208,21.824312
6421,1994,Greece,female,25-34 years,9,768618,116601802107.0,1.17,39.074208,21.824312
6422,1994,Greece,female,35-54 years,18,1361342,116601802107.0,1.32,39.074208,21.824312
6424,1994,Greece,female,55-74 years,33,1163420,116601802107.0,2.84,39.074208,21.824312
6425,1994,Greece,female,75+ years,11,367608,116601802107.0,2.99,39.074208,21.824312
6429,1994,Greece,male,05-14 years,2,692321,116601802107.0,0.29,39.074208,21.824312
6426,1994,Greece,male,15-24 years,33,823908,116601802107.0,4.01,39.074208,21.824312
6427,1994,Greece,male,25-34 years,44,776895,116601802107.0,5.66,39.074208,21.824312
6428,1994,Greece,male,35-54 years,76,1344213,116601802107.0,5.65,39.074208,21.824312
6430,1994,Greece,male,55-74 years,88,1037789,116601802107.0,8.48,39.074208,21.824312
6431,1994,Greece,male,75+ years,38,270654,116601802107.0,14.04,39.074208,21.824312
6447,1994,Guatemala,female,05-14 years,1,1413928,12983235568.0,0.07,15.783470999999999,-90.23075899999999
6444,1994,Guatemala,female,15-24 years,11,1035674,12983235568.0,1.06,15.783470999999999,-90.23075899999999
6445,1994,Guatemala,female,25-34 years,4,667227,12983235568.0,0.6,15.783470999999999,-90.23075899999999
6446,1994,Guatemala,female,35-54 years,1,767533,12983235568.0,0.13,15.783470999999999,-90.23075899999999
6448,1994,Guatemala,female,55-74 years,3,356534,12983235568.0,0.84,15.783470999999999,-90.23075899999999
6449,1994,Guatemala,female,75+ years,0,58014,12983235568.0,0.0,15.783470999999999,-90.23075899999999
6453,1994,Guatemala,male,05-14 years,5,1456798,12983235568.0,0.34,15.783470999999999,-90.23075899999999
6450,1994,Guatemala,male,15-24 years,42,1016187,12983235568.0,4.13,15.783470999999999,-90.23075899999999
6451,1994,Guatemala,male,25-34 years,30,603841,12983235568.0,4.97,15.783470999999999,-90.23075899999999
6452,1994,Guatemala,male,35-54 years,32,682516,12983235568.0,4.69,15.783470999999999,-90.23075899999999
6454,1994,Guatemala,male,55-74 years,10,336518,12983235568.0,2.97,15.783470999999999,-90.23075899999999
6455,1994,Guatemala,male,75+ years,3,49144,12983235568.0,6.1,15.783470999999999,-90.23075899999999
6483,1994,Iceland,female,05-14 years,0,20700,6294803497.0,0.0,64.96305100000001,-19.020835
6480,1994,Iceland,female,15-24 years,1,20500,6294803497.0,4.88,64.96305100000001,-19.020835
6481,1994,Iceland,female,25-34 years,0,21000,6294803497.0,0.0,64.96305100000001,-19.020835
6482,1994,Iceland,female,35-54 years,0,32500,6294803497.0,0.0,64.96305100000001,-19.020835
6484,1994,Iceland,female,55-74 years,1,19200,6294803497.0,5.21,64.96305100000001,-19.020835
6485,1994,Iceland,female,75+ years,2,7300,6294803497.0,27.4,64.96305100000001,-19.020835
6489,1994,Iceland,male,05-14 years,0,21900,6294803497.0,0.0,64.96305100000001,-19.020835
6486,1994,Iceland,male,15-24 years,5,21100,6294803497.0,23.7,64.96305100000001,-19.020835
6487,1994,Iceland,male,25-34 years,4,21500,6294803497.0,18.6,64.96305100000001,-19.020835
6488,1994,Iceland,male,35-54 years,8,33800,6294803497.0,23.67,64.96305100000001,-19.020835
6490,1994,Iceland,male,55-74 years,4,18200,6294803497.0,21.98,64.96305100000001,-19.020835
6491,1994,Iceland,male,75+ years,0,5000,6294803497.0,0.0,64.96305100000001,-19.020835
6495,1994,Ireland,female,05-14 years,0,310200,57166037102.0,0.0,53.41291,-8.243889999999999
6492,1994,Ireland,female,15-24 years,13,303000,57166037102.0,4.29,53.41291,-8.243889999999999
6493,1994,Ireland,female,25-34 years,9,256100,57166037102.0,3.51,53.41291,-8.243889999999999
6494,1994,Ireland,female,35-54 years,38,431300,57166037102.0,8.81,53.41291,-8.243889999999999
6496,1994,Ireland,female,55-74 years,27,272800,57166037102.0,9.9,53.41291,-8.243889999999999
6497,1994,Ireland,female,75+ years,3,103200,57166037102.0,2.91,53.41291,-8.243889999999999
6501,1994,Ireland,male,05-14 years,2,328300,57166037102.0,0.61,53.41291,-8.243889999999999
6498,1994,Ireland,male,15-24 years,69,318100,57166037102.0,21.69,53.41291,-8.243889999999999
6499,1994,Ireland,male,25-34 years,77,249000,57166037102.0,30.92,53.41291,-8.243889999999999
6500,1994,Ireland,male,35-54 years,99,436500,57166037102.0,22.68,53.41291,-8.243889999999999
6502,1994,Ireland,male,55-74 years,44,252800,57166037102.0,17.41,53.41291,-8.243889999999999
6503,1994,Ireland,male,75+ years,13,64700,57166037102.0,20.09,53.41291,-8.243889999999999
6507,1994,Israel,female,05-14 years,2,512100,86307135997.0,0.39,31.046051000000002,34.851612
6504,1994,Israel,female,15-24 years,8,469900,86307135997.0,1.7,31.046051000000002,34.851612
6505,1994,Israel,female,25-34 years,16,376500,86307135997.0,4.25,31.046051000000002,34.851612
6506,1994,Israel,female,35-54 years,25,608200,86307135997.0,4.11,31.046051000000002,34.851612
6508,1994,Israel,female,55-74 years,32,370200,86307135997.0,8.64,31.046051000000002,34.851612
6509,1994,Israel,female,75+ years,29,116500,86307135997.0,24.89,31.046051000000002,34.851612
6513,1994,Israel,male,05-14 years,3,540100,86307135997.0,0.56,31.046051000000002,34.851612
6510,1994,Israel,male,15-24 years,57,489500,86307135997.0,11.64,31.046051000000002,34.851612
6511,1994,Israel,male,25-34 years,52,382000,86307135997.0,13.61,31.046051000000002,34.851612
6512,1994,Israel,male,35-54 years,97,586200,86307135997.0,16.55,31.046051000000002,34.851612
6514,1994,Israel,male,55-74 years,56,307700,86307135997.0,18.2,31.046051000000002,34.851612
6515,1994,Israel,male,75+ years,39,86000,86307135997.0,45.35,31.046051000000002,34.851612
6519,1994,Italy,female,05-14 years,10,2830695,1095590833694.0,0.35,41.87194,12.56738
6516,1994,Italy,female,15-24 years,72,4097424,1095590833694.0,1.76,41.87194,12.56738
6517,1994,Italy,female,25-34 years,140,4490477,1095590833694.0,3.12,41.87194,12.56738
6518,1994,Italy,female,35-54 years,291,7570722,1095590833694.0,3.84,41.87194,12.56738
6520,1994,Italy,female,55-74 years,397,6614346,1095590833694.0,6.0,41.87194,12.56738
6521,1994,Italy,female,75+ years,215,2347862,1095590833694.0,9.16,41.87194,12.56738
6525,1994,Italy,male,05-14 years,22,2964838,1095590833694.0,0.74,41.87194,12.56738
6522,1994,Italy,male,15-24 years,313,4240786,1095590833694.0,7.38,41.87194,12.56738
6523,1994,Italy,male,25-34 years,543,4550652,1095590833694.0,11.93,41.87194,12.56738
6524,1994,Italy,male,35-54 years,883,7443880,1095590833694.0,11.86,41.87194,12.56738
6526,1994,Italy,male,55-74 years,1065,5661170,1095590833694.0,18.81,41.87194,12.56738
6527,1994,Italy,male,75+ years,585,1330197,1095590833694.0,43.98,41.87194,12.56738
6531,1994,Japan,female,05-14 years,21,6960000,4907039384470.0,0.3,36.204824,138.252924
6528,1994,Japan,female,15-24 years,463,9111000,4907039384470.0,5.08,36.204824,138.252924
6529,1994,Japan,female,25-34 years,670,8050000,4907039384470.0,8.32,36.204824,138.252924
6530,1994,Japan,female,35-54 years,1846,18077000,4907039384470.0,10.21,36.204824,138.252924
6532,1994,Japan,female,55-74 years,2314,13742000,4907039384470.0,16.84,36.204824,138.252924
6533,1994,Japan,female,75+ years,1538,4368000,4907039384470.0,35.21,36.204824,138.252924
6537,1994,Japan,male,05-14 years,55,7318000,4907039384470.0,0.75,36.204824,138.252924
6534,1994,Japan,male,15-24 years,1147,9582000,4907039384470.0,11.97,36.204824,138.252924
6535,1994,Japan,male,25-34 years,1631,8250000,4907039384470.0,19.77,36.204824,138.252924
6536,1994,Japan,male,35-54 years,5439,18084000,4907039384470.0,30.08,36.204824,138.252924
6538,1994,Japan,male,55-74 years,4256,12046000,4907039384470.0,35.33,36.204824,138.252924
6539,1994,Japan,male,75+ years,1364,2476000,4907039384470.0,55.09,36.204824,138.252924
6591,1994,Luxembourg,female,05-14 years,0,22900,18325791415.0,0.0,49.815273,6.129583
6588,1994,Luxembourg,female,15-24 years,1,23700,18325791415.0,4.22,49.815273,6.129583
6589,1994,Luxembourg,female,25-34 years,2,33900,18325791415.0,5.9,49.815273,6.129583
6590,1994,Luxembourg,female,35-54 years,4,55400,18325791415.0,7.22,49.815273,6.129583
6592,1994,Luxembourg,female,55-74 years,5,41300,18325791415.0,12.11,49.815273,6.129583
6593,1994,Luxembourg,female,75+ years,1,15300,18325791415.0,6.54,49.815273,6.129583
6597,1994,Luxembourg,male,05-14 years,0,23900,18325791415.0,0.0,49.815273,6.129583
6594,1994,Luxembourg,male,15-24 years,7,24700,18325791415.0,28.34,49.815273,6.129583
6595,1994,Luxembourg,male,25-34 years,9,35000,18325791415.0,25.71,49.815273,6.129583
6596,1994,Luxembourg,male,35-54 years,22,58400,18325791415.0,37.67,49.815273,6.129583
6598,1994,Luxembourg,male,55-74 years,15,35000,18325791415.0,42.86,49.815273,6.129583
6599,1994,Luxembourg,male,75+ years,8,7500,18325791415.0,106.67,49.815273,6.129583
6615,1994,Malta,female,05-14 years,0,27000,2998570147.0,0.0,35.937496,14.375416
6612,1994,Malta,female,15-24 years,0,26100,2998570147.0,0.0,35.937496,14.375416
6613,1994,Malta,female,25-34 years,0,25500,2998570147.0,0.0,35.937496,14.375416
6614,1994,Malta,female,35-54 years,2,52900,2998570147.0,3.78,35.937496,14.375416
6616,1994,Malta,female,55-74 years,0,33100,2998570147.0,0.0,35.937496,14.375416
6617,1994,Malta,female,75+ years,1,8600,2998570147.0,11.63,35.937496,14.375416
6621,1994,Malta,male,05-14 years,0,28300,2998570147.0,0.0,35.937496,14.375416
6618,1994,Malta,male,15-24 years,3,27900,2998570147.0,10.75,35.937496,14.375416
6619,1994,Malta,male,25-34 years,3,26900,2998570147.0,11.15,35.937496,14.375416
6620,1994,Malta,male,35-54 years,5,52500,2998570147.0,9.52,35.937496,14.375416
6622,1994,Malta,male,55-74 years,0,27300,2998570147.0,0.0,35.937496,14.375416
6623,1994,Malta,male,75+ years,1,5600,2998570147.0,17.86,35.937496,14.375416
6627,1994,Mauritius,female,05-14 years,1,96300,3558137040.0,1.04,-20.348404000000002,57.552152
6624,1994,Mauritius,female,15-24 years,9,96100,3558137040.0,9.37,-20.348404000000002,57.552152
6625,1994,Mauritius,female,25-34 years,8,97100,3558137040.0,8.24,-20.348404000000002,57.552152
6626,1994,Mauritius,female,35-54 years,3,127900,3558137040.0,2.35,-20.348404000000002,57.552152
6628,1994,Mauritius,female,55-74 years,0,56700,3558137040.0,0.0,-20.348404000000002,57.552152
6629,1994,Mauritius,female,75+ years,1,12400,3558137040.0,8.06,-20.348404000000002,57.552152
6633,1994,Mauritius,male,05-14 years,0,99500,3558137040.0,0.0,-20.348404000000002,57.552152
6630,1994,Mauritius,male,15-24 years,25,99500,3558137040.0,25.13,-20.348404000000002,57.552152
6631,1994,Mauritius,male,25-34 years,41,102600,3558137040.0,39.96,-20.348404000000002,57.552152
6632,1994,Mauritius,male,35-54 years,28,128600,3558137040.0,21.77,-20.348404000000002,57.552152
6634,1994,Mauritius,male,55-74 years,12,49100,3558137040.0,24.44,-20.348404000000002,57.552152
6635,1994,Mauritius,male,75+ years,1,7000,3558137040.0,14.29,-20.348404000000002,57.552152
6639,1994,Mexico,female,05-14 years,26,10360700,527813238126.0,0.25,23.634501,-102.552784
6636,1994,Mexico,female,15-24 years,168,9886600,527813238126.0,1.7,23.634501,-102.552784
6637,1994,Mexico,female,25-34 years,71,7102600,527813238126.0,1.0,23.634501,-102.552784
6638,1994,Mexico,female,35-54 years,88,8137700,527813238126.0,1.08,23.634501,-102.552784
6640,1994,Mexico,female,55-74 years,28,3420700,527813238126.0,0.82,23.634501,-102.552784
6641,1994,Mexico,female,75+ years,12,764600,527813238126.0,1.57,23.634501,-102.552784
6645,1994,Mexico,male,05-14 years,46,10730100,527813238126.0,0.43,23.634501,-102.552784
6642,1994,Mexico,male,15-24 years,646,9882000,527813238126.0,6.54,23.634501,-102.552784
6643,1994,Mexico,male,25-34 years,550,6757200,527813238126.0,8.14,23.634501,-102.552784
6644,1994,Mexico,male,35-54 years,554,7691700,527813238126.0,7.2,23.634501,-102.552784
6646,1994,Mexico,male,55-74 years,299,3066800,527813238126.0,9.75,23.634501,-102.552784
6647,1994,Mexico,male,75+ years,100,573400,527813238126.0,17.44,23.634501,-102.552784
6651,1994,Netherlands,female,05-14 years,1,900700,374291430318.0,0.11,52.132633,5.291266
6648,1994,Netherlands,female,15-24 years,42,1033300,374291430318.0,4.06,52.132633,5.291266
6649,1994,Netherlands,female,25-34 years,84,1273100,374291430318.0,6.6,52.132633,5.291266
6650,1994,Netherlands,female,35-54 years,198,2145300,374291430318.0,9.23,52.132633,5.291266
6652,1994,Netherlands,female,55-74 years,122,1379300,374291430318.0,8.85,52.132633,5.291266
6653,1994,Netherlands,female,75+ years,53,563200,374291430318.0,9.41,52.132633,5.291266
